Umur,Jenis Kelamin,Saya sudah berlangganan Netflix selama .......,Rekomendasi tontonan di Netflix ....... dengan kebiasaan menonton saya.,Saya merasa Netflix memberikan pengalaman menonton yang ....... dengan selera saya.,Netflix ....... dalam menyarankan tayangan yang saya sukai berdasarkan riwayat tontonan.,Netflix dapat dengan ....... terhubung ke berbagai perangkat (seperti TV atau HP).,Saya dapat melanjutkan menonton di perangkat lain dengan kenyamanan ....... karena riwayat tontonan langsung tersinkronisasi.,Notifikasi atau saran tontonan dari Netflix ....... dengan selera saya.,Iklan atau promosi Netflix membuat saya ....... untuk berlangganan atau menonton film baru,Promosi melalui email atau notifikasi ....... saya untuk terus menggunakan layanan Netflix.,Saya ....... tayangan baru dari situs atau iklan daring Netflix.,Saya ....... promosi atau konten baru Netflix dari media sosial seperti Instagram atau TikTok.,Jam,Tanggal,JamMenit
18 - 30 tahun,Perempuan,Diatas 1 tahun,3,3,3,3,3,2,2,2,2,3,10,2025-05-17,10:35
18 - 30 tahun,Perempuan,1-3 bulan,1,1,1,1,1,1,4,1,1,1,10,2025-05-17,10:38
18 - 30 tahun,Laki-Laki,1-3 bulan,3,4,2,4,4,4,4,4,4,4,10,2025-05-17,10:48
18 - 30 tahun,Perempuan,1-3 bulan,3,3,3,4,3,3,3,2,3,3,10,2025-05-17,10:56
18 - 30 tahun,Perempuan,Diatas 1 tahun,3,3,4,4,4,4,4,4,3,4,10,2025-05-17,10:58
18 - 30 tahun,Perempuan,1-3 bulan,3,3,3,4,3,2,1,1,3,2,10,2025-05-17,10:59
18 - 30 tahun,Perempuan,1-3 bulan,3,3,3,3,3,3,3,2,2,2,11,2025-05-17,11:00
18 - 30 tahun,Perempuan,1-3 bulan,4,4,4,4,4,4,4,1,1,3,11,2025-05-17,11:00
18 - 30 tahun,Perempuan,6-12 bulan,4,4,3,4,4,3,3,4,4,4,11,2025-05-17,11:00
18 - 30 tahun,Perempuan,1-3 bulan,3,3,3,4,3,3,2,3,2,3,11,2025-05-17,11:01
18 - 30 tahun,Laki-Laki,Diatas 1 tahun,4,4,4,4,4,4,4,4,4,4,11,2025-05-17,11:06
18 - 30 tahun,Laki-Laki,1-3 bulan,3,3,3,4,4,3,3,3,2,3,11,2025-05-17,11:07
18 - 30 tahun,Laki-Laki,1-3 bulan,2,2,2,2,2,2,2,2,2,2,11,2025-05-17,11:09
18 - 30 tahun,Perempuan,1-3 bulan,2,3,3,3,2,3,3,3,3,3,11,2025-05-17,11:12
18 - 30 tahun,Perempuan,1-3 bulan,3,3,3,3,3,3,3,2,3,3,11,2025-05-17,11:13
18 - 30 tahun,Perempuan,Diatas 1 tahun,3,4,4,4,4,3,3,4,4,4,11,2025-05-17,11:14
18 - 30 tahun,Perempuan,1-3 bulan,4,3,3,4,4,3,3,3,2,2,11,2025-05-17,11:14
18 - 30 tahun,Laki-Laki,Diatas 1 tahun,3,3,3,4,4,4,4,2,4,4,11,2025-05-17,11:15
18 - 30 tahun,Laki-Laki,1-3 bulan,3,3,3,3,3,3,3,3,2,3,11,2025-05-17,11:15
18 - 30 tahun,Perempuan,6-12 bulan,3,4,3,4,4,3,3,4,3,3,11,2025-05-17,11:15
18 - 30 tahun,Perempuan,Diatas 1 tahun,3,3,3,4,3,3,3,3,3,3,11,2025-05-17,11:19
18 - 30 tahun,Laki-Laki,1-3 bulan,3,3,3,3,4,3,3,2,2,2,11,2025-05-17,11:21
18 - 30 tahun,Perempuan,1-3 bulan,4,4,2,4,3,3,3,3,3,3,11,2025-05-17,11:21
18 - 30 tahun,Laki-Laki,1-3 bulan,2,2,2,2,2,2,2,2,2,2,11,2025-05-17,11:21
18 - 30 tahun,Perempuan,Diatas 1 tahun,4,4,4,4,4,4,4,3,4,3,11,2025-05-17,11:22
18 - 30 tahun,Perempuan,Diatas 1 tahun,4,4,4,4,4,3,3,3,4,4,11,2025-05-17,11:22
18 - 30 tahun,Laki-Laki,1-3 bulan,2,3,3,3,3,2,2,2,2,2,11,2025-05-17,11:22
18 - 30 tahun,Perempuan,1-3 bulan,4,4,4,4,4,4,4,4,4,4,11,2025-05-17,11:23
18 - 30 tahun,Perempuan,Diatas 1 tahun,3,3,3,3,3,3,3,2,3,2,11,2025-05-17,11:23
18 - 30 tahun,Perempuan,6-12 bulan,4,4,4,4,4,4,4,3,4,3,11,2025-05-17,11:24
18 - 30 tahun,Perempuan,1-3 bulan,3,4,3,4,4,4,2,2,2,2,11,2025-05-17,11:25
18 - 30 tahun,Perempuan,4-6 bulan,3,3,3,4,3,3,3,2,3,3,11,2025-05-17,11:26
18 - 30 tahun,Perempuan,1-3 bulan,4,3,3,3,3,3,3,3,3,3,11,2025-05-17,11:31
18 - 30 tahun,Perempuan,6-12 bulan,3,4,3,4,4,3,2,2,3,2,11,2025-05-17,11:31
18 - 30 tahun,Laki-Laki,4-6 bulan,4,4,4,4,4,4,1,1,1,1,11,2025-05-17,11:33
Diatas 30 tahun,Laki-Laki,1-3 bulan,4,4,4,4,4,4,4,4,4,4,11,2025-05-17,11:34
18 - 30 tahun,Perempuan,6-12 bulan,4,4,3,3,3,3,2,3,1,3,11,2025-05-17,11:35
18 - 30 tahun,Perempuan,Diatas 1 tahun,4,4,4,4,4,2,2,1,3,4,11,2025-05-17,11:37
18 - 30 tahun,Perempuan,1-3 bulan,3,4,4,2,3,3,4,3,3,4,11,2025-05-17,11:38
18 - 30 tahun,Laki-Laki,1-3 bulan,3,4,3,4,4,3,3,1,2,4,11,2025-05-17,11:41
18 - 30 tahun,Laki-Laki,1-3 bulan,4,4,4,4,4,4,4,4,4,4,11,2025-05-17,11:51
18 - 30 tahun,Laki-Laki,1-3 bulan,3,4,2,3,3,3,2,3,2,3,11,2025-05-17,11:53
18 - 30 tahun,Perempuan,1-3 bulan,3,4,3,3,4,3,3,1,3,3,12,2025-05-17,12:01
18 - 30 tahun,Perempuan,Diatas 1 tahun,4,4,4,4,4,4,4,4,4,4,12,2025-05-17,12:03
18 - 30 tahun,Perempuan,Diatas 1 tahun,2,3,4,4,4,2,3,2,3,2,12,2025-05-17,12:04
18 - 30 tahun,Laki-Laki,4-6 bulan,3,3,3,3,3,2,3,2,3,3,12,2025-05-17,12:04
18 - 30 tahun,Perempuan,Diatas 1 tahun,3,4,2,3,3,3,3,3,3,3,12,2025-05-17,12:05
Dibawah 18 tahun,Laki-Laki,Diatas 1 tahun,2,1,4,4,4,3,3,2,3,4,12,2025-05-17,12:05
18 - 30 tahun,Perempuan,6-12 bulan,2,3,3,3,3,3,3,3,3,3,12,2025-05-17,12:06
Dibawah 18 tahun,Laki-Laki,1-3 bulan,3,3,4,4,4,3,3,2,4,4,12,2025-05-17,12:10
18 - 30 tahun,Perempuan,1-3 bulan,3,3,3,4,3,3,3,3,3,3,12,2025-05-17,12:12
Diatas 30 tahun,Laki-Laki,Diatas 1 tahun,4,4,2,4,3,2,4,1,3,2,12,2025-05-17,12:12
Dibawah 18 tahun,Perempuan,1-3 bulan,4,4,3,3,4,3,4,3,4,4,12,2025-05-17,12:16
18 - 30 tahun,Perempuan,4-6 bulan,4,4,3,4,4,2,3,1,3,3,12,2025-05-17,12:17
18 - 30 tahun,Laki-Laki,1-3 bulan,1,3,3,3,3,3,1,1,1,1,12,2025-05-17,12:20
18 - 30 tahun,Laki-Laki,1-3 bulan,3,3,3,3,3,3,2,2,2,2,12,2025-05-17,12:20
18 - 30 tahun,Perempuan,1-3 bulan,3,3,3,4,3,3,4,3,3,3,12,2025-05-17,12:27
18 - 30 tahun,Perempuan,4-6 bulan,3,4,3,4,3,4,4,2,3,3,12,2025-05-17,12:31
Dibawah 18 tahun,Laki-Laki,4-6 bulan,1,2,3,3,3,2,2,3,2,1,12,2025-05-17,12:33
18 - 30 tahun,Laki-Laki,6-12 bulan,3,3,3,4,4,2,2,2,3,3,12,2025-05-17,12:36
Diatas 30 tahun,Perempuan,6-12 bulan,4,4,4,4,4,4,3,2,4,4,12,2025-05-17,12:39
18 - 30 tahun,Perempuan,Diatas 1 tahun,4,4,2,3,3,3,3,1,1,1,12,2025-05-17,12:41
18 - 30 tahun,Laki-Laki,4-6 bulan,3,4,4,4,4,2,3,2,3,3,12,2025-05-17,12:43
18 - 30 tahun,Perempuan,1-3 bulan,3,3,2,3,3,2,2,2,2,3,12,2025-05-17,12:47
18 - 30 tahun,Laki-Laki,Diatas 1 tahun,4,4,4,4,4,4,4,4,4,4,12,2025-05-17,12:49
18 - 30 tahun,Laki-Laki,1-3 bulan,3,3,3,4,3,1,2,1,2,1,12,2025-05-17,12:54
18 - 30 tahun,Laki-Laki,1-3 bulan,3,3,4,3,4,4,3,2,3,3,12,2025-05-17,12:58
18 - 30 tahun,Laki-Laki,Diatas 1 tahun,4,4,3,4,3,3,4,4,3,3,13,2025-05-17,13:01
18 - 30 tahun,Perempuan,Diatas 1 tahun,3,3,3,4,4,3,3,2,2,4,13,2025-05-17,13:06
Diatas 30 tahun,Laki-Laki,Diatas 1 tahun,4,4,4,4,4,3,3,2,3,3,13,2025-05-17,13:06
18 - 30 tahun,Perempuan,1-3 bulan,3,3,3,3,3,2,2,1,2,3,13,2025-05-17,13:08
Diatas 30 tahun,Perempuan,Diatas 1 tahun,3,3,3,3,3,2,2,1,1,2,13,2025-05-17,13:11
Diatas 30 tahun,Laki-Laki,Diatas 1 tahun,2,2,2,3,3,2,1,1,2,2,13,2025-05-17,13:12
Diatas 30 tahun,Perempuan,1-3 bulan,2,3,3,3,3,3,3,3,3,3,13,2025-05-17,13:16
18 - 30 tahun,Perempuan,1-3 bulan,4,4,3,3,4,3,4,3,3,4,13,2025-05-17,13:16
18 - 30 tahun,Laki-Laki,1-3 bulan,4,3,4,3,4,4,3,3,3,3,13,2025-05-17,13:18
18 - 30 tahun,Perempuan,Diatas 1 tahun,3,3,3,4,3,3,1,2,1,3,13,2025-05-17,13:20
Diatas 30 tahun,Perempuan,Diatas 1 tahun,3,3,4,4,4,3,3,3,4,2,13,2025-05-17,13:36
Dibawah 18 tahun,Laki-Laki,1-3 bulan,2,3,3,4,4,3,2,1,4,3,14,2025-05-17,14:04
18 - 30 tahun,Perempuan,Diatas 1 tahun,4,4,4,4,4,4,3,3,3,3,14,2025-05-17,14:33
Dibawah 18 tahun,Perempuan,4-6 bulan,3,3,4,3,4,2,2,2,2,2,14,2025-05-17,14:36
Dibawah 18 tahun,Perempuan,1-3 bulan,3,3,3,3,4,3,3,3,3,3,14,2025-05-17,14:38
18 - 30 tahun,Perempuan,1-3 bulan,3,3,3,3,4,3,2,2,2,2,14,2025-05-17,14:39
18 - 30 tahun,Perempuan,4-6 bulan,3,3,3,3,3,3,3,2,3,3,14,2025-05-17,14:41
Dibawah 18 tahun,Perempuan,4-6 bulan,3,3,3,4,4,3,3,2,2,3,15,2025-05-17,15:27
18 - 30 tahun,Laki-Laki,1-3 bulan,3,3,3,4,4,3,1,1,2,1,15,2025-05-17,15:35
18 - 30 tahun,Perempuan,4-6 bulan,3,3,3,3,2,3,2,2,3,3,15,2025-05-17,15:37
Dibawah 18 tahun,Perempuan,Diatas 1 tahun,3,3,4,4,4,4,3,2,2,3,16,2025-05-17,16:18
18 - 30 tahun,Perempuan,6-12 bulan,4,4,4,3,3,4,4,2,3,4,16,2025-05-17,16:27
Dibawah 18 tahun,Laki-Laki,Diatas 1 tahun,3,4,4,3,3,4,3,4,4,4,18,2025-05-17,18:00
18 - 30 tahun,Perempuan,Diatas 1 tahun,4,4,4,3,4,4,4,4,4,4,19,2025-05-17,19:37
18 - 30 tahun,Perempuan,1-3 bulan,2,3,2,3,2,3,2,2,3,2,19,2025-05-17,19:51
18 - 30 tahun,Perempuan,1-3 bulan,3,3,4,3,3,3,2,2,2,3,19,2025-05-17,19:52
